Materia prima ,PC 
Concentrado de tomate ,
Jarabe de maiz de alta fructosa ,
Azucar ,
Vinagre de alcohol de caña ,
Sal yodada ,
Espesante ,
Benzoato de sodio ,
Saborizante ,
